Model,Accuracy (Original),Precision (Original),Recall (Original),F1 (Original),Accuracy (Anonymized),Precision (Anonymized),Recall (Anonymized),F1 (Anonymized)
Random Forest,0.41935483870967744,0.31182795698924737,0.41935483870967744,0.3387096774193548,0.0967741935483871,0.09139784946236558,0.0967741935483871,0.08954056695992178
MLP,0.16129032258064516,0.12903225806451613,0.16129032258064516,0.11597542242703533,0.12903225806451613,0.06272401433691756,0.12903225806451613,0.08371735791090629
SVM,0.06451612903225806,0.004162330905306971,0.06451612903225806,0.007820136852394917,0.0,0.0,0.0,0.0
