Classifier,Dataset,Accuracy,F1 Score,Precision,Recall
Random Forest,Meta (Original),0.8380281690140845,0.8395965536810606,0.8607981220657278,0.8380281690140845
Random Forest,Anonymized,0.7570621468926554,0.7269638525353046,0.7116714520418512,0.7570621468926554
MLP,Meta (Original),0.8450704225352113,0.8453386988598255,0.8628521126760563,0.8450704225352113
MLP,Anonymized,0.7245762711864406,0.6741310120246999,0.6325820531715889,0.7245762711864406
SVM,Meta (Original),0.8873239436619719,0.8664207467024367,0.8723591549295775,0.8873239436619719
SVM,Anonymized,0.7980225988700564,0.7470744569931936,0.7052521828194809,0.7980225988700564
