,Random Forest (Original),Random Forest (Anonymized),MLP (Original),MLP (Anonymized),SVM (Original),SVM (Anonymized)
f1,0.4980678708025117,0.5722514812376563,0.08437305687437893,0.0014812376563528638,0.12721154488335415,0.10940634318243427
accuracy,0.47465437788018433,0.4792626728110599,0.055299539170506916,0.013824884792626729,0.08294930875576037,0.07373271889400922
precision,0.5637960132786669,0.7515207373271888,0.17792255945759838,0.0007825406486392488,0.29523809523809524,0.28396155815510654
recall,0.47465437788018433,0.4792626728110599,0.055299539170506916,0.013824884792626729,0.08294930875576037,0.07373271889400922
