,原始数据 (调整后),匿名化数据 (调整后)
Random Forest,"{'准确率': 0.9901960784313726, '精确率': 0.9970238095238094, '召回率': 0.9967532467532468, 'F1分数': 0.9967465246968352}","{'准确率': 0.5196078431372549, '精确率': 0.3251417233560091, '召回率': 0.4273268398268398, 'F1分数': 0.35594262535256316}"
MLP,"{'准确率': 0.5196078431372549, '精确率': 0.38075980392156866, '召回率': 0.4061688311688312, 'F1分数': 0.37594389737246875}","{'准确率': 0.4411764705882353, '精确率': 0.22013963480128892, '召回率': 0.2865800865800866, 'F1分数': 0.23590040911469481}"
SVM,"{'准确率': 0.19607843137254902, '精确率': 0.042408424908424905, '召回率': 0.07770562770562771, 'F1分数': 0.05082344942207449}","{'准确率': 0.1568627450980392, '精确率': 0.017006802721088433, '召回率': 0.05357142857142857, 'F1分数': 0.025725626191571888}"
